latitude,longitude,elevation,location,day,time,IC1,IC2,IC3,IC4,IC1_lag1,IC1_lag2,IC1_lag3,IC2_lag1,IC2_lag2,IC2_lag3,IC3_lag1,IC3_lag2,IC3_lag3,IC4_lag1,IC4_lag2,IC4_lag3
13.1107,80.2459,15,chennai,-300,2024-06-01,0.9974695007430955,2.1027675398607686,2.0210146434999867,-0.22451374849454342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.6889,79.9728,69,chengalpattu,-300,2024-06-01,1.0004165505382652,1.7021721835273862,1.732715627818658,-1.2542756867730056,0.9974695007430955,NA,NA,2.1027675398607686,NA,NA,2.0210146434999867,NA,NA,-0.22451374849454342,NA,NA
13.1107,80.2459,15,chennai,-299,2024-06-02,1.0825642585202528,1.2757930048121895,0.643101515542841,-1.2761318870356513,1.0004165505382652,0.9974695007430955,NA,1.7021721835273862,2.1027675398607686,NA,1.732715627818658,2.0210146434999867,NA,-1.2542756867730056,-0.22451374849454342,NA
12.6889,79.9728,69,chengalpattu,-299,2024-06-02,0.6559322082064198,1.0177463057824379,0.33263797062544936,-1.6399199707779004,1.0825642585202528,1.0004165505382652,0.9974695007430955,1.2757930048121895,1.7021721835273862,2.1027675398607686,0.643101515542841,1.732715627818658,2.0210146434999867,-1.2761318870356513,-1.2542756867730056,-0.22451374849454342
13.1107,80.2459,15,chennai,-298,2024-06-03,-0.20591532993460393,1.2490791107484238,-2.565019041339236,-0.8672416740372065,0.6559322082064198,1.0825642585202528,1.0004165505382652,1.0177463057824379,1.2757930048121895,1.7021721835273862,0.33263797062544936,0.643101515542841,1.732715627818658,-1.6399199707779004,-1.2761318870356513,-1.2542756867730056
12.6889,79.9728,69,chengalpattu,-298,2024-06-03,-0.43593459166954485,1.0799687452606435,-2.3399561684415144,-1.243202498844443,-0.20591532993460393,0.6559322082064198,1.0825642585202528,1.2490791107484238,1.0177463057824379,1.2757930048121895,-2.565019041339236,0.33263797062544936,0.643101515542841,-0.8672416740372065,-1.6399199707779004,-1.2761318870356513
13.1107,80.2459,15,chennai,-297,2024-06-04,-0.16737336923029253,1.2534590353750836,-0.6192702267943145,-1.5181335773534972,-0.43593459166954485,-0.20591532993460393,0.6559322082064198,1.0799687452606435,1.2490791107484238,1.0177463057824379,-2.3399561684415144,-2.565019041339236,0.33263797062544936,-1.243202498844443,-0.8672416740372065,-1.6399199707779004
12.6889,79.9728,69,chengalpattu,-297,2024-06-04,-0.7892929242452563,1.1047748474363126,-1.21063238043949,-1.0918296748221983,-0.16737336923029253,-0.43593459166954485,-0.20591532993460393,1.2534590353750836,1.0799687452606435,1.2490791107484238,-0.6192702267943145,-2.3399561684415144,-2.565019041339236,-1.5181335773534972,-1.243202498844443,-0.8672416740372065
13.1107,80.2459,15,chennai,-296,2024-06-05,1.4648847162332979,1.26711031841686,-0.9377864059952798,-1.472775127815729,-0.7892929242452563,-0.16737336923029253,-0.43593459166954485,1.1047748474363126,1.2534590353750836,1.0799687452606435,-1.21063238043949,-0.6192702267943145,-2.3399561684415144,-1.0918296748221983,-1.5181335773534972,-1.243202498844443
12.6889,79.9728,69,chengalpattu,-296,2024-06-05,0.8122539840342248,1.1037621538714182,-1.6423670372390462,-1.4650079865344794,1.4648847162332979,-0.7892929242452563,-0.16737336923029253,1.26711031841686,1.1047748474363126,1.2534590353750836,-0.9377864059952798,-1.21063238043949,-0.6192702267943145,-1.472775127815729,-1.0918296748221983,-1.5181335773534972
13.1107,80.2459,15,chennai,-295,2024-06-06,1.6398293016365713,1.0691876083515244,-1.083624045171625,-1.604869807285115,0.8122539840342248,1.4648847162332979,-0.7892929242452563,1.1037621538714182,1.26711031841686,1.1047748474363126,-1.6423670372390462,-0.9377864059952798,-1.21063238043949,-1.4650079865344794,-1.472775127815729,-1.0918296748221983
12.6889,79.9728,69,chengalpattu,-295,2024-06-06,1.6138178278510702,0.8702173906584343,-1.3495301788833967,-2.0335558642811877,1.6398293016365713,0.8122539840342248,1.4648847162332979,1.0691876083515244,1.1037621538714182,1.26711031841686,-1.083624045171625,-1.6423670372390462,-0.9377864059952798,-1.604869807285115,-1.4650079865344794,-1.472775127815729
